Name,Substation,Description,สถานที่ติดตั้ง,สถานที่,การไฟฟ้า,ประเภทอุปกรณ์,ใช้งาน/ไม่ใช้งาน
S1-RCS-0767,S1 FRTU,SSA04S-16,ระบบจำหน่าย,หน้าปั้มเชลทางเข้าเมือง,กฟส.สมุทรสงคราม,FRTU-RCS,ใช้งาน
S1-RCS-0768,S1 FRTU,SSA10S-18,ระบบจำหน่าย,ไทยประกันชีวิต สส.,กฟส.สมุทรสงคราม,FRTU-RCS,ใช้งาน
S1-RCS-0769,S1 FRTU,CPA09S-23,ระบบจำหน่าย,อาร์แอนด์ดีพันธุ์ปาล์ม,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0770,S1 FRTU,CPA04S-17,ระบบจำหน่าย,บ้านห้วยเข้,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0771,S1 FRTU,CPA09S-24,ระบบจำหน่าย,บ้านไทรล่า,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0772,S1 FRTU,CPA10S-30,ระบบจำหน่าย,ยูเทิร์นพะงุ้น,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0773,S1 FRTU,CPA10S-31,ระบบจำหน่าย,ที่ว่าการอำเภอสวี,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0774,S1 FRTU,LSA08S-14,ระบบจำหน่าย,วัดท่าหิน,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0775,S1 FRTU,LSA08S-20,ระบบจำหน่าย,บ้านเล็บกระรอก,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0776,S1 FRTU,LSA01S-23,ระบบจำหน่าย,ไปรษณีสวี,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0777,S1 FRTU,LSA01S-21,ระบบจำหน่าย,จำลองการยาง,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0778,S1 FRTU,LSA07S-22,ระบบจำหน่าย,อบต.นาโพธิ์,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0779,S1 FRTU,LSA08S-07,ระบบจำหน่าย,เลยแยกสวีฝั่งซ้าย (วงจรล่าง),กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0780,S1 FRTU,LSA02S-07,ระบบจำหน่าย,ทุ่งทองการเกษตร,กฟส.หลังสวน,FRTU-RCS,ใช้งาน
S1-RCS-0781,S1 FRTU,TSE02S-07,ระบบจำหน่าย,ชุมพรปาล์ม,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0782,S1 FRTU,TSE06S-03,ระบบจำหน่าย,แยกผู้ใหญ่บัว,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0783,S1 FRTU,TSE07S-07,ระบบจำหน่าย,บ้านต้นโดล,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0784,S1 FRTU,TSE04S-05,ระบบจำหน่าย,เนินท่าแซะ,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0785,S1 FRTU,TSE04S-06,ระบบจำหน่าย,ไทยประกันชีวิต,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0786,S1 FRTU,TSE04S-12,ระบบจำหน่าย,ซอยข้างโรงเรียนอนุบาลท่าแซะ,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0787,S1 FRTU,TSE09S-03,ระบบจำหน่าย,บ้านห้วยจก,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0788,S1 FRTU,TSE09S-04,ระบบจำหน่าย,ตรงข้ามเทศบาลตำบลเนินสัน,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0789,S1 FRTU,KHY06S-11,ระบบจำหน่าย,แยกหนองหญ้าปล้อง,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0790,S1 FRTU,PBA06S-20,ระบบจำหน่าย,จุดแบ่งเขตหนองช้างตาย,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0791,S1 FRTU,PBA06S-28,ระบบจำหน่าย,หน้าอนามัยท่ายาง,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0792,S1 FRTU,BSP01S-16,ระบบจำหน่าย,เทศบาลซอย17,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0793,S1 FRTU,BSP01S-18,ระบบจำหน่าย,ตรงข้ามบ้าน สส.,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0794,S1 FRTU,BSP01S-12,ระบบจำหน่าย,แยกทับสะแก,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0795,S1 FRTU,BSP05S-12,ระบบจำหน่าย,โคกตาหอม,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0796,S1 FRTU,QTA05S-06,ระบบจำหน่าย,สนง.กำนันตำบลดอนยาง,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0797,S1 FRTU,RNB05S-18,ระบบจำหน่าย,ร้านกิจไพศาล,กฟส.ระนอง,FRTU-RCS,ใช้งาน
S1-RCS-0798,S1 FRTU,CBN08S-30,ระบบจำหน่าย,เขาสน(อ่างหิน)ก่อนถึงโรงงารAPM,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0799,S1 FRTU,CPB10S-28,ระบบจำหน่าย,ตรงข้ามไอโมเดิร์น,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0800,S1 FRTU,PTR03S-14,ระบบจำหน่าย,โรงพยาบาลโพธาราม,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0801,S1 FRTU,PTR06S-10,ระบบจำหน่าย,โลตัสดอนทราย,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0802,S1 FRTU,PTR05S-15,ระบบจำหน่าย,ใกล้โรงนมหนองโพ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0803,S1 FRTU,PTR04S-07,ระบบจำหน่าย,ปั๊มเชลล์,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0804,S1 FRTU,PTR10S-11,ระบบจำหน่าย,หลังป้อมตำรวจหนองโพ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0805,S1 FRTU,PTR02S-17,ระบบจำหน่าย,โรงพยาบาลเจ็ดเสมียน,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0806,S1 FRTU,PTR04S-06,ระบบจำหน่าย,แยกบ้านเลือก,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0807,S1 FRTU,PTS01S-12,ระบบจำหน่าย,วิทยาลัยเกษตรเขาเขียว,กฟส.นางแก้ว,FRTU-RCS,ใช้งาน
S1-RCS-0808,S1 FRTU,RBB03S-16,ระบบจำหน่าย,ธรรมเสน-โพธาราม -ราชบุรี,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0809,S1 FRTU,PTS09S-15,ระบบจำหน่าย,ข้างวัดสร้อยฟ้า,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0810,S1 FRTU,PTS02S-15,ระบบจำหน่าย,ก่อนถึงวัดเขาช่องพราน,กฟส.นางแก้ว,FRTU-RCS,ใช้งาน
S1-RCS-0811,S1 FRTU,PTR01S-03,ระบบจำหน่าย,แยกเขาขวาง,กฟส.นางแก้ว,FRTU-RCS,ใช้งาน
S1-RCS-0812,S1 FRTU,KHZ02S-04,ระบบจำหน่าย,หน้าร้านอาจารย์ หนองชุมพล,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0813,S1 FRTU,KHZ07S-03,ระบบจำหน่าย,สามแยกหน้าร้านอาจารย์ หนองชุมพล,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0814,S1 FRTU,KHY04S-04,ระบบจำหน่าย,หนองปลาไหล,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0815,S1 FRTU,KHY09S-04,ระบบจำหน่าย,โค้งหนองจิก,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0816,S1 FRTU,KHY06S-06,ระบบจำหน่าย,ก่อนแยกเขาย้อย,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0817,S1 FRTU,DNA03S-07,ระบบจำหน่าย,แยกอัมพวา,กฟส.อัมพวา,FRTU-RCS,ใช้งาน
S1-RCS-0818,S1 FRTU,KHY01S-08,ระบบจำหน่าย,ห้วยโรง-เขาย้อย -เพชรบุรี,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0819,S1 FRTU,RBB08S-10,ระบบจำหน่าย,โรงเรียนเขาพระเอก,กฟส.ปากท่อ,FRTU-RCS,ใช้งาน
S1-RCS-0820,S1 FRTU,KHZ09S-13,ระบบจำหน่าย,บจก.อาหารและยา,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0821,S1 FRTU,RBB04S-11,ระบบจำหน่าย,ก่อนถึงสามแยกโรงโม่,กฟส.ปากท่อ,FRTU-RCS,ใช้งาน
S1-RCS-0822,S1 FRTU,KHZ10S-07,ระบบจำหน่าย,บ้านหนองนกออก,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0823,S1 FRTU,PTH01S-09,ระบบจำหน่าย,โรงแรมณิชากร,กฟส.ปากท่อ,FRTU-RCS,ใช้งาน
S1-RCS-0824,S1 FRTU,PTH04S-05,ระบบจำหน่าย,สามแยกวังมะนาว,กฟส.ปากท่อ,FRTU-RCS,ใช้งาน
S1-RCS-0825,S1 FRTU,PTH09S-16,ระบบจำหน่าย,แควอ้อม-อัมพวา -สมุทรสงคราม,กฟส.อัมพวา,FRTU-RCS,ใช้งาน
S1-RCS-0826,S1 FRTU,KHZ10S-06,ระบบจำหน่าย,หน้าอัจจิมาฟาร์ม,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0827,S1 FRTU,KHZ01S-16,ระบบจำหน่าย,หน้ากฟส.เขาย้อย,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0828,S1 FRTU,RBA07S-06,ระบบจำหน่าย,แยกเขางู,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0829,S1 FRTU,RBC04S-15,ระบบจำหน่าย,ตลาดท่าฝาง,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0830,S1 FRTU,RBB08S-18,ระบบจำหน่าย,หน้าโรงงาน VCF Feedmill อ่างหิน,กฟส.ปากท่อ,FRTU-RCS,ใช้งาน
S1-RCS-0831,S1 FRTU,RBB03S-22,ระบบจำหน่าย,หน้าโรงเทียน,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0832,S1 FRTU,RBC04S-05,ระบบจำหน่าย,โค้งหลุมดิน,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0833,S1 FRTU,RBC10S-06,ระบบจำหน่าย,กลางซ.แม็คโคร,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0834,S1 FRTU,HUB02S-14,ระบบจำหน่าย,บ้านหนองพรานพุก,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0835,S1 FRTU,RBB03S-07,ระบบจำหน่าย,ซอยข้างสำนักงาน กฟจ.ราชบุรี,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0836,S1 FRTU,PTH07S-08,ระบบจำหน่าย,คุ้งกระถิน,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0837,S1 FRTU,RBC04S-08,ระบบจำหน่าย,ปากทางท่าแจ่,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0838,S1 FRTU,RBB04S-22,ระบบจำหน่าย,ปากทางเข้าวัดเขาน้อยเทียมสววค์,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0839,S1 FRTU,RBB01S-08,ระบบจำหน่าย,บายพาส บ้านดอนแจง,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0840,S1 FRTU,RBB05S-05,ระบบจำหน่าย,ก่อนถึงห้วยชินสีห์ฝั่งลงใต้,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0841,S1 FRTU,RBB06S-08,ระบบจำหน่าย,ป้อมตำรวจห้วยชินสีห์,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0842,S1 FRTU,XPA05S-25,ระบบจำหน่าย,ทางเข้าโรงงาน V&K,กฟส.บ้านคา,FRTU-RCS,ใช้งาน
S1-RCS-0843,S1 FRTU,CBN09S-13,ระบบจำหน่าย,หน้าไร่ลำไย,กฟส.เมืองราชบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0844,S1 FRTU,CBN10S-23,ระบบจำหน่าย,เบิกไพร-จอมบึง -ราชบุรี,กฟส.ด่านทับตะโก,FRTU-RCS,ใช้งาน
S1-RCS-0845,S1 FRTU,CBN02S-10,ระบบจำหน่าย,บ้านทุ่งน้อย,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0846,S1 FRTU,CBN08S-04,ระบบจำหน่าย,สามแยกโรงแรมเลิฟยู,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0847,S1 FRTU,CBN08S-03,ระบบจำหน่าย,แยกวัดถ้ำสิงโตทอง,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0848,S1 FRTU,XPA05S-21,ระบบจำหน่าย,รางเสน่ห์,กฟส.สวนผึ้ง,FRTU-RCS,ใช้งาน
S1-RCS-0849,S1 FRTU,XPA04S-08,ระบบจำหน่าย,วงเวียน(เจนบริการ),กฟส.สวนผึ้ง,FRTU-RCS,ใช้งาน
S1-RCS-0850,S1 FRTU,DNA08S-11,ระบบจำหน่าย,ปากทางโรงแรมผึ้งหลวง,กฟส.ดำเนินสะดวก,FRTU-RCS,ใช้งาน
S1-RCS-0851,S1 FRTU,DNA01S-03,ระบบจำหน่าย,บ้านสะพานดำ,กฟส.บางแพ,FRTU-RCS,ใช้งาน
S1-RCS-0852,S1 FRTU,DNA08S-07,ระบบจำหน่าย,โรงปูนโชคชัยรัตน์,กฟส.ดำเนินสะดวก,FRTU-RCS,ใช้งาน
S1-RCS-0853,S1 FRTU,SSA07S-07,ระบบจำหน่าย,ปากทางเข้าบ.โปรไบโอเทค,กฟส.เมืองสมุทรสงคราม,FRTU-RCS,ใช้งาน
S1-RCS-0854,S1 FRTU,SSA08S-05,ระบบจำหน่าย,ตรงข้ามเรือนจำสมุทรสงตราม,กฟส.เมืองสมุทรสงคราม,FRTU-RCS,ใช้งาน
S1-RCS-0855,S1 FRTU,SSA01S-04,ระบบจำหน่าย,ใกล้ด่านชั่งน้ำหนัก ( ร้านขายของฝาก ),กฟส.เมืองสมุทรสงคราม,FRTU-RCS,ใช้งาน
S1-RCS-0856,S1 FRTU,SSA10S-04,ระบบจำหน่าย,เลยปากทางเข้าร้านวิเชียรยนต์,กฟส.เมืองสมุทรสงคราม,FRTU-RCS,ใช้งาน
S1-RCS-0857,S1 FRTU,PBA03S-13,ระบบจำหน่าย,คลองกระแชง-เมืองเพชรบุรี -เพชรบุรี,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0858,S1 FRTU,PBA01S-11,ระบบจำหน่าย,จส.ซอย 4,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0859,S1 FRTU,KHY01S-04,ระบบจำหน่าย,ก่อนถึงแยกวัดยาง,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0860,S1 FRTU,PBB01S-10,ระบบจำหน่าย,ช่องสะแก-เมืองเพชรบุรี -เพชรบุรี,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0861,S1 FRTU,PBA07S-10,ระบบจำหน่าย,ประตูวัดยาง,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0862,S1 FRTU,PBA04S-08,ระบบจำหน่าย,ต้นมะม่วง-เมืองเพชรบุรี -เพชรบุรี,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0863,S1 FRTU,PBA07S-17,ระบบจำหน่าย,แยกสรรพากร,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0864,S1 FRTU,KHY08S-11,ระบบจำหน่าย,ก่อนวัดหนองควง,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0865,S1 FRTU,KHY02S-04,ระบบจำหน่าย,บ้านต้นมะพร้าว,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0866,S1 FRTU,PBA11S-14,ระบบจำหน่าย,บ้านโพธิ์ลอย,กฟส.บ้านลาด,FRTU-RCS,ใช้งาน
S1-RCS-0867,S1 FRTU,PBB05S-19,ระบบจำหน่าย,บางอินทร์ปากทะเล,กฟส.บ้านแหลม,FRTU-RCS,ใช้งาน
S1-RCS-0868,S1 FRTU,PBA05S-17,ระบบจำหน่าย,หน้าแมคโคร,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0869,S1 FRTU,PBA02S-20,ระบบจำหน่าย,มิตซูหัวสะพาน,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0870,S1 FRTU,PBB04S-03,ระบบจำหน่าย,ไปรษณีย์หาดเจ้า,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0871,S1 FRTU,PBA11S-28,ระบบจำหน่าย,บ้านขนอน,กฟส.บ้านลาด,FRTU-RCS,ใช้งาน
S1-RCS-0872,S1 FRTU,PBA09S-11,ระบบจำหน่าย,ท่าเสน-บ้านลาด -เพชรบุรี,กฟส.บ้านลาด,FRTU-RCS,ใช้งาน
S1-RCS-0873,S1 FRTU,PBA02S-08,ระบบจำหน่าย,หน้าอู่ต้อม,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0874,S1 FRTU,PBA06S-11,ระบบจำหน่าย,ท่าเสน-บ้านลาด -เพชรบุรี,กฟส.บ้านลาด,FRTU-RCS,ใช้งาน
S1-RCS-0875,S1 FRTU,PBA03S-19,ระบบจำหน่าย,เขาพนมขวด,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0876,S1 FRTU,KDA03S-07,ระบบจำหน่าย,สามแยกหนองหงษ์,กฟส.แก่งกระจาน,FRTU-RCS,ใช้งาน
S1-RCS-0877,S1 FRTU,KDA01S-10,ระบบจำหน่าย,แก่งกระจาน-แก่งกระจาน -เพชรบุรี,กฟส.แก่งกระจาน,FRTU-RCS,ใช้งาน
S1-RCS-0878,S1 FRTU,KDA02S-17,ระบบจำหน่าย,เขากระปุก-ท่ายาง -เพชรบุรี,กฟส.ท่าไม้รวก,FRTU-RCS,ใช้งาน
S1-RCS-0879,S1 FRTU,KDA02S-18,ระบบจำหน่าย,เขากระปุก-ท่ายาง -เพชรบุรี,กฟส.ท่าไม้รวก,FRTU-RCS,ใช้งาน
S1-RCS-0880,S1 FRTU,KDA02S-14,ระบบจำหน่าย,source,กฟส.ท่าไม้รวก,FRTU-RCS,ใช้งาน
S1-RCS-0881,S1 FRTU,PBA10S-32,ระบบจำหน่าย,แยกบ้านหนองชุมแสง,กฟส.ท่าไม้รวก,FRTU-RCS,ใช้งาน
S1-RCS-0882,S1 FRTU,PBA10S-30,ระบบจำหน่าย,ท่าคอย-ท่ายาง -เพชรบุรี,กฟส.ท่ายาง,FRTU-RCS,ใช้งาน
S1-RCS-0883,S1 FRTU,HUB01S-18,ระบบจำหน่าย,หนองพลับ-หัวหิน -ประจวบคีรีขันธ์,กฟส.หนองพลับ,FRTU-RCS,ใช้งาน
S1-RCS-0884,S1 FRTU,KDA02S-06,ระบบจำหน่าย,แก่งกระจาน-แก่งกระจาน -เพชรบุรี,กฟส.แก่งกระจาน,FRTU-RCS,ใช้งาน
S1-RCS-0885,S1 FRTU,CAB09S-16,ระบบจำหน่าย,ปั๊มซัสโก้,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0886,S1 FRTU,CAB05S-17,ระบบจำหน่าย,หน้าไฟฟ้าชะอำเก่า,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0887,S1 FRTU,CAB10S-21,ระบบจำหน่าย,ถนนเจ้าลาย (ทิศใต้),กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0888,S1 FRTU,PBA03S-05,ระบบจำหน่าย,ร.พ.เพชรรัชต์ PBA09,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0889,S1 FRTU,CAB03S-15,ระบบจำหน่าย,อุโมงค์บ่อฝ้าย CAB03,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0890,S1 FRTU,CAA05S-10,ระบบจำหน่าย,บริเวณหน้าแมกิมลั้งฝั่งตะวันออก,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0891,S1 FRTU,CAB03S-07,ระบบจำหน่าย,ตรงข้ามค่ายนเรศวร,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0892,S1 FRTU,CAB09S-05,ระบบจำหน่าย,หน้าค่ายนเรศวร,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0893,S1 FRTU,CAB06S-03,ระบบจำหน่าย,ไทย เดนมาร์ก,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0894,S1 FRTU,HUC06S-05,ระบบจำหน่าย,สนามเทนนิสเซนเทนเนียนพาร์ค,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0895,S1 FRTU,HUC05S-50,ระบบจำหน่าย,โรงฆ่าสัตว์,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0896,S1 FRTU,PNA09S-05,ระบบจำหน่าย,หนองคาง,กฟส.ปราณบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0897,S1 FRTU,PNA10S-12,ระบบจำหน่าย,-,-,FRTU-RCS,ใช้งาน
S1-RCS-0898,S1 FRTU,PNA07S-04,ระบบจำหน่าย,หน้าปั้มน้ำมัน พีที หนองตาเย็น,กฟส.ปราณบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0899,S1 FRTU,PNA10S-11,ระบบจำหน่าย,ร้าน ศ.พอเพียง,กฟส.ปราณบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0900,S1 FRTU,PNA04S-07,ระบบจำหน่าย,ปากทางบ้านนาปุ้ม,กฟส.ปราณบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0901,S1 FRTU,PNA03S-03,ระบบจำหน่าย,สามแยกเขื่อนปราณ,กฟส.ปราณบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0902,S1 FRTU,PNA02S-12,ระบบจำหน่าย,ข้าง ปตท.สมัยปิโตเลียม,กฟส.ปราณบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0903,S1 FRTU,KUA09S-16,ระบบจำหน่าย,เขาแดง-กุยบุรี -ประจวบคีรีขันธ์,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0904,S1 FRTU,PBB01S-16,ระบบจำหน่าย,สามแยกดอนผิงแดด,กฟส.บ้านแหลม,FRTU-RCS,ใช้งาน
S1-RCS-0905,S1 FRTU,KUA08S-03,ระบบจำหน่าย,แยกหนองหมู,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0906,S1 FRTU,KUA01S-05,ระบบจำหน่าย,สี่แยกบ่อนอก,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0907,S1 FRTU,KUA10S-09,ระบบจำหน่าย,หน้า NW GREEN,กฟส.กุยบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0908,S1 FRTU,PDA05S-08,ระบบจำหน่าย,บ้านร่องแก้ว จุด 1,กฟส.เมืองประจวบคีรีขันธ์,FRTU-RCS,ใช้งาน
S1-RCS-0909,S1 FRTU,PDA09S-17,ระบบจำหน่าย,หน้า ธ.กรุงเทพฯ,กฟส.เมืองประจวบคีรีขันธ์,FRTU-RCS,ใช้งาน
S1-RCS-0910,S1 FRTU,PDA05S-22,ระบบจำหน่าย,ก่อนถึงค่ายพระมงกุฏิ,กฟส.เมืองประจวบคีรีขันธ์,FRTU-RCS,ใช้งาน
S1-RCS-0911,S1 FRTU,PBA04S-24,ระบบจำหน่าย,โค้งทุ่งลม,กฟส.เมืองเพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0912,S1 FRTU,PDA03S-10,ระบบจำหน่าย,หน้าโรงเรียนบ้านค่าย แยกประจวบฯ,กฟส.เมืองประจวบคีรีขันธ์,FRTU-RCS,ใช้งาน
S1-RCS-0913,S1 FRTU,PDA05S-11,ระบบจำหน่าย,หน้าสนามกีฬาคลองวาฬ,กฟส.เมืองประจวบคีรีขันธ์,FRTU-RCS,ใช้งาน
S1-RCS-0914,S1 FRTU,PDA08S-11,ระบบจำหน่าย,หน้า รพ.ประจวบฯ,กฟส.เมืองประจวบคีรีขันธ์,FRTU-RCS,ใช้งาน
S1-RCS-0915,S1 FRTU,BSP06S-08,ระบบจำหน่าย,นาหูกวาง-ทับสะแก -ประจวบคีรีขันธ์,กฟส.ทับสะแก,FRTU-RCS,ใช้งาน
S1-RCS-0916,S1 FRTU,BSP02S-13,ระบบจำหน่าย,นาหูกวาง-ทับสะแก -ประจวบคีรีขันธ์,กฟส.ทับสะแก,FRTU-RCS,ใช้งาน
S1-RCS-0917,S1 FRTU,BSP07S-23,ระบบจำหน่าย,ทับสะแก-ทับสะแก -ประจวบคีรีขันธ์,กฟส.ทับสะแก,FRTU-RCS,ใช้งาน
S1-RCS-0918,S1 FRTU,BSP02S-08,ระบบจำหน่าย,บ้านหนองหอย,กฟส.ทับสะแก,FRTU-RCS,ใช้งาน
S1-RCS-0919,S1 FRTU,BSR10S-10,ระบบจำหน่าย,กำเนิดนพคุณ-บางสะพาน -ประจวบคีรีขันธ์,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0920,S1 FRTU,BSR03S-10,ระบบจำหน่าย,TieLine แยกหนองหัดไท,กฟส.บางสะพานน้อย,FRTU-RCS,ใช้งาน
S1-RCS-0921,S1 FRTU,BSR02S-22,ระบบจำหน่าย,บ้านหนองหัดไท จุดที่ 3,กฟส.บางสะพานน้อย,FRTU-RCS,ใช้งาน
S1-RCS-0922,S1 FRTU,QTA09S-08,ระบบจำหน่าย,บ้านน้ำพุ,กฟส.บางสะพานน้อย,FRTU-RCS,ใช้งาน
S1-RCS-0923,S1 FRTU,PBA10S-18,ระบบจำหน่าย,สามแยกท่ายาง,กฟส.ท่ายาง,FRTU-RCS,ใช้งาน
S1-RCS-0924,S1 FRTU,TSE10S-15,ระบบจำหน่าย,บ้านหินกบ,กฟส.ปะทิว,FRTU-RCS,ใช้งาน
S1-RCS-0925,S1 FRTU,TSE05S-15,ระบบจำหน่าย,หน้าไปรษณีย์ ประทิว,กฟส.ปะทิว,FRTU-RCS,ใช้งาน
